Id. Parada,Cod. Via / Cod. Vía,Num. Portal,Suprimida,Denominació / Denominación,Línies / Líneas,Proximas_llegadas,geo_shape,geo_point_2d,geometry,latitud,longitud,hora_descarga
1937.0,81172.0,28,0,Arquitecte Segura de Lago - Dr. Rafael Bartual (1937),"72,73,N5",  Sant Isidre - 4 min.   Sant Isidre - 9 min.   Sant Isidre - 14 min.   Sant Isidre - 22 min.,"{""coordinates"": [-0.40308755647828237, 39.4535227230909], ""type"": ""Point""}","39.4535227230909, -0.40308755647828237",POINT (-0.4030875564782824 39.4535227230909),39.4535227230909,-0.40308755647828237,16:12:07
1949.0,42340.0,4 DUP,0,Tarongers - Facultat de Magisteri (1949),18,  Hosp. Dr.Peset - 10 min.   Hosp. Dr.Peset - 25 min.,"{""coordinates"": [-0.34599939834394794, 39.47981689713002], ""type"": ""Point""}","39.47981689713002, -0.34599939834394794",POINT (-0.3459993983439479 39.47981689713002),39.47981689713002,-0.34599939834394794,16:12:07
1951.0,81456.0,17 ACC (DAVANT),0,Pere II El Cerimonios - Vicente Beltrán Grimalt (1951),35,  Est.del Nord - 10 min.   Est.del Nord - 24 min.,"{""coordinates"": [-0.347192148340816, 39.462558899092706], ""type"": ""Point""}","39.462558899092706, -0.347192148340816",POINT (-0.347192148340816 39.46255889909271),39.462558899092706,-0.347192148340816,16:12:07
1806.0,14470.0,1,0,Molinell (imparell) - Alboraia (1806),"98,N10",  Av. Cid - 16 min.   Av. Cid - 34 min.,"{""coordinates"": [-0.3700428613032802, 39.48520324342893], ""type"": ""Point""}","39.48520324342893, -0.3700428613032802",POINT (-0.3700428613032802 39.48520324342893),39.48520324342893,-0.3700428613032802,16:12:07
1865.0,57300.0,131 (DAVANT),0,Pérez Galdós - Sant Josep de la Muntanya (1865),"67,N4",  Nou Campanar - 14 min.   Nou Campanar - 33 min.,"{""coordinates"": [-0.39488896506346793, 39.473994685702266], ""type"": ""Point""}","39.473994685702266, -0.39488896506346793",POINT (-0.3948889650634679 39.47399468570227),39.473994685702266,-0.39488896506346793,16:12:07
1994.0,81628.0,S/N (GASOLINERA),0,Bulevard Sud - Ausiàs March (1994),"99,N7",  La Malva-rosa - 13 min.   La Malva-rosa - 22 min.,"{""coordinates"": [-0.3695400495579194, 39.44559227697989], ""type"": ""Point""}","39.44559227697989, -0.3695400495579194",POINT (-0.3695400495579194 39.44559227697989),39.44559227697989,-0.3695400495579194,16:12:07
2008.0,54810.0,22,0,Pare Esteban Pernet  - Centre Comercial (2008),71,  la Llum - 8 min.   la Llum - 22 min.,"{""coordinates"": [-0.41286514104078, 39.46706816175477], ""type"": ""Point""}","39.46706816175477, -0.41286514104078",POINT (-0.41286514104078 39.46706816175477),39.46706816175477,-0.41286514104078,16:12:07
2064.0,81637.0,2-B,0,Terrateig - Jorge Comín (2064),67,  Nou Campanar - 5 min.   Nou Campanar - 21 min.,"{""coordinates"": [-0.40354927202647156, 39.481090336937136], ""type"": ""Point""}","39.481090336937136, -0.40354927202647156",POINT (-0.4035492720264716 39.48109033693714),39.481090336937136,-0.40354927202647156,16:12:07
2067.0,74730.0,43,0,Vall de la Ballestera - Eduardo Soler i Pérez (2067),67,  Est.del Nord - Próximo   Est.del Nord - 23 min.,"{""coordinates"": [-0.39907585954838853, 39.47859792508317], ""type"": ""Point""}","39.47859792508317, -0.39907585954838853",POINT (-0.3990758595483885 39.47859792508317),39.47859792508317,-0.39907585954838853,16:12:07
2105.0,,S/N,0,Moncada - Alfara (2105),26,  Pta.de la mar - 23 min.   Pta.de la mar - 43 min.,"{""coordinates"": [-0.3877709702266676, 39.54278297921955], ""type"": ""Point""}","39.54278297921955, -0.3877709702266676",POINT (-0.3877709702266676 39.54278297921955),39.54278297921955,-0.3877709702266676,16:12:07
2122.0,40890.0,89 (DAVANT),0,Parc de Natzaret (2122),"30,4",  Natzaret - Próximo   Natzaret - 16 min.   Natzaret - 24 min.,"{""coordinates"": [-0.33328721280162654, 39.44458966947652], ""type"": ""Point""}","39.44458966947652, -0.33328721280162654",POINT (-0.3332872128016265 39.44458966947652),39.44458966947652,-0.33328721280162654,16:12:07
2231.0,1440.0,24-26,0,Centre d'especialitats Ricard Trénor  (2231),"11,N10",  Els Orriols - 8 min.   Els Orriols - 17 min.,"{""coordinates"": [-0.3705717018844134, 39.48185718248969], ""type"": ""Point""}","39.48185718248969, -0.3705717018844134",POINT (-0.3705717018844134 39.48185718248969),39.48185718248969,-0.3705717018844134,16:12:07
2234.0,2790.0,16ACC (DAV),0,Almassora - Pintor Vilar (2234),11,  Patraix - 5 min.   Patraix - 18 min.,"{""coordinates"": [-0.3726952078369107, 39.48286109940063], ""type"": ""Point""}","39.48286109940063, -0.3726952078369107",POINT (-0.3726952078369107 39.48286109940063),39.48286109940063,-0.3726952078369107,16:12:07
2315.0,65250.0,30,0,Roger de Llòria - Colón (2315),40,  Universitats - 11 min.   Universitats - 25 min.,"{""coordinates"": [-0.37259575211011514, 39.46913251637978], ""type"": ""Point""}","39.46913251637978, -0.37259575211011514",POINT (-0.3725957521101151 39.46913251637978),39.46913251637978,-0.37259575211011514,16:12:07
2295.0,33480.0,SN,0,Amado Granell Mesado (parell) - Antonio Ferrandis (2295),14,  Castellar - Próximo   Castellar - 17 min.,"{""coordinates"": [-0.35920142965635643, 39.45064884159421], ""type"": ""Point""}","39.45064884159421, -0.35920142965635643",POINT (-0.3592014296563564 39.45064884159421),39.45064884159421,-0.35920142965635643,16:12:07
2312.0,68820.0,REIXA INSTITUT,0,Estació del Nord - Sant Pau (2312),"62,67,73,9,N3,N7",  Est.del Nord - Próximo   Sant Isidre - Próximo   Forn d'Alcedo - Próximo   Benimàmet - 2 min.   Els Orriols - 3 min.   Forn d'Alcedo - 10 min.   Fta. S.Lluis - 12 min.   Sant Isidre - 15 min.   Benimàmet - 15 min.   Est.del Nord - 16 min.   Els Orriols - 17 min.   Fta. S.Lluis - 27 min.,"{""coordinates"": [-0.3778266392067869, 39.468393565184314], ""type"": ""Point""}","39.468393565184314, -0.3778266392067869",POINT (-0.3778266392067869 39.46839356518431),39.468393565184314,-0.3778266392067869,16:12:07
2301.0,33240.0,1,0,Félix del Río - Camí de Montcada (2301),60,  Torrefiel - 7 min.   Torrefiel - 19 min.,"{""coordinates"": [-0.37947477999329565, 39.49198776163449], ""type"": ""Point""}","39.49198776163449, -0.37947477999329565",POINT (-0.3794747799932957 39.49198776163449),39.49198776163449,-0.37947477999329565,16:12:07
2338.0,,49,0,País Valencià - València (2338),9,  Forn d'Alcedo - 3 min.   Forn d'Alcedo - 13 min.,"{""coordinates"": [-0.3814167408394351, 39.42642679040525], ""type"": ""Point""}","39.42642679040525, -0.3814167408394351",POINT (-0.3814167408394351 39.42642679040525),39.42642679040525,-0.3814167408394351,16:12:07
2340.0,,83 (DAVANT),0,País Valencià - Pintor Sorolla (2340),9,  Est.del Nord - 2 min.   Est.del Nord - 11 min.,"{""coordinates"": [-0.38477011143400464, 39.427966203019466], ""type"": ""Point""}","39.427966203019466, -0.38477011143400464",POINT (-0.3847701114340046 39.42796620301947),39.427966203019466,-0.38477011143400464,16:12:07
2341.0,56250.0,9 (DAVANT),0,Passeig Marítim - Mediterrània (2341),32,  Pass. Marítim - Próximo   Pass. Marítim - 15 min.,"{""coordinates"": [-0.32457598427002543, 39.46830732255087], ""type"": ""Point""}","39.46830732255087, -0.32457598427002543",POINT (-0.3245759842700254 39.46830732255087),39.46830732255087,-0.32457598427002543,16:12:07
